YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2016,2020,KY,Kentucky,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,301.3,301.3,,,283.4,319.9,Race/Ethnicity,Hispanic,,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN07,,AGEADJRATE,RACE,HIS,,,,
2015,2019,OH,Ohio,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,236.0,236.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),39,CAN,CAN02,,NMBR,RACE,BLK,,,,
2015,2019,NH,New Hampshire,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,156.6,156.6,,,153.9,159.4,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN08,,AGEADJRATE,RACE,WHT,,,,
2015,2019,AL,Alabama,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,562.4,562.4,,,559.4,565.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),1,CAN,CAN07,,CRDRATE,OVERALL,OVR,,,,
2016,2020,IL,Illinois,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,35136.0,35136.0,,,,,Sex,Female,,,,,POINT (-88.99771017799969 40.48501028300046),17,CAN,CAN07,,NMBR,SEX,SEXF,,,,
2015,2019,CT,Connecticut,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,497.3,497.3,,,492.9,501.7,Sex,Male,,,,,POINT (-72.64984095199964 41.56266102000046),9,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,503.0,503.0,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN05,,NMBR,OVERALL,OVR,,,,
2015,2019,UT,Utah,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,157.4,157.4,,,128.7,190.0,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2015,2019,NC,North Carolina,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,288.0,288.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),37,CAN,CAN05,,NMBR,RACE,BLK,,,,
2015,2019,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,198.6,198.6,,,194.4,202.9,Sex,Male,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,FL,Florida,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,170.7,170.7,,,169.8,171.7,Sex,Male,,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,NV,Nevada,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,174.3,174.3,,,171.4,177.4,Sex,Male,,,,,POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,CA,California,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,337.1,337.1,,,335.5,338.8,Race/Ethnicity,Hispanic,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN07,,AGEADJRATE,RACE,HIS,,,,
2016,2020,IA,Iowa,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,217.3,217.3,,,214.1,220.6,Sex,Male,,,,,POINT (-93.81649055599968 42.46940091300047),19,CAN,CAN08,,CRDRATE,SEX,SEXM,,,,
2015,2019,US,United States,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,181.4,181.4,,,181.1,181.7,Sex,Male,,,,,,59,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
